time_measured,temperature,relative_humidity,ambient_light,barometric_pressure,sound_noise,eTVOC,eCO2,discomfort_index,heat_stroke,vibration_information,si_value,pga,seismic_intensity,temperature_flag,relative_humidity_flag,ambient_light_flag,barometric_pressure_flag,sound_noise_flag,etvoc_flag,eco2_flag,discomfort_index_flag,heat_stroke_flag,si_value_flag,pga_flag,seismic_intensity_flag
1710146777,19.41,43.54,0,994.793,76.14,89,987,64.16,15.88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146778,19.38,43.57,0,994.793,76.97,86,970,64.12,15.86,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146779,19.38,43.55,148,994.794,79.55,79,923,64.12,15.86,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146780,19.41,43.48,148,994.792,78.33,84,956,64.15,15.88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146781,19.42,43.49,148,994.786,77.69,84,956,64.17,15.89,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146783,19.45,43.51,144,994.784,77.05,84,956,64.21,15.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146784,19.46,43.53,144,994.785,77.2,84,956,64.22,15.91,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146785,19.48,43.49,146,994.784,77.59,86,970,64.24,15.93,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146786,19.53,43.42,144,994.784,78.93,86,970,64.3,15.97,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146787,19.54,43.39,141,994.785,77.69,86,970,64.31,15.94,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146788,19.58,43.36,148,994.784,78.52,84,956,64.36,15.98,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146789,19.62,43.31,144,994.786,78.09,86,970,64.41,16.01,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146790,19.64,43.27,146,994.787,76.16,84,956,64.43,16.03,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146791,19.66,43.23,146,994.786,78.7,86,970,64.45,16.04,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146792,19.68,43.11,146,994.786,77.32,88,983,64.47,16.06,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146794,19.7,43.07,139,994.784,77.48,86,970,64.49,16.07,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146795,19.75,42.97,146,994.784,77.69,86,970,64.55,16.03,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146796,19.77,42.95,148,994.784,78.37,86,970,64.57,16.05,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146797,19.8,42.89,146,994.783,77.57,71,868,64.61,16.07,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146798,19.83,42.83,146,994.786,76.43,71,868,64.64,16.09,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146799,19.83,42.84,148,994.786,79.01,71,868,64.64,16.09,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146800,19.85,42.79,144,994.785,78.08,71,868,64.66,16.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146801,19.85,42.8,139,994.784,78.34,71,868,64.66,16.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146802,19.87,42.75,144,994.785,78.46,73,880,64.69,16.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146803,19.95,42.58,146,994.78,77.18,75,897,64.78,16.15,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146805,19.99,42.48,146,994.781,78.17,75,897,64.82,16.19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146806,20.0,42.47,146,994.783,76.66,75,897,64.83,16.19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146807,20.0,42.46,146,994.78,77.97,77,909,64.83,16.19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146808,20.01,42.49,137,994.777,79.36,79,925,64.84,16.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146809,20.02,42.51,146,994.779,78.36,82,942,64.86,16.21,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146810,20.02,42.5,148,994.777,77.65,85,959,64.86,16.21,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146811,20.05,42.47,144,994.776,78.82,87,972,64.89,16.23,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146812,20.07,42.44,146,994.779,78.29,87,972,64.92,16.25,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146813,20.1,42.42,146,994.777,77.01,87,972,64.95,16.28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146815,20.09,42.45,137,994.776,78.38,87,972,64.94,16.27,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146816,20.08,42.45,146,994.777,78.38,87,972,64.93,16.26,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146817,20.1,42.41,146,994.777,78.26,88,983,64.95,16.28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146818,20.12,42.36,146,994.775,78.49,88,983,64.97,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146819,20.13,42.31,146,994.771,78.01,88,983,64.98,16.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146820,20.14,42.31,148,994.772,77.92,88,983,64.99,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146821,20.15,42.3,148,994.772,78.67,85,959,65.01,16.32,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146822,20.12,42.36,148,994.769,78.34,85,959,64.97,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146823,20.14,42.35,148,994.766,76.29,85,959,65.0,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146824,20.14,42.37,139,994.768,75.87,79,925,65.0,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146826,20.16,42.29,139,994.768,76.64,79,925,65.02,16.32,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146827,20.14,42.29,146,994.77,76.84,77,909,64.99,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
